population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4618,1,-0.0120411998265593,-0.0120411998265593,-0.0120411998265593,-0.0120411998265593,-0.0120411998265593,0.0317541791234701,0.0317541791234692,0.0317541791234701,0.0317541791234697,0.0317541791234697,0.0317541791234697,0.0317541791234697,0.0317541791234697,0,0,0,0,0,0,0,0,0,0,-0.0810126828954316,-0.0810126828954312,-0.0810126828954316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5328,1,0.00993755683782149,0.00993755683782149,0.00993755683782149,0.00993755683782149,0.00993755683782149,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.0106263487135436,0.01249387366083,0.01249387366083,0.01249387366083,0.01249387366083,0.01249387366083,0.01249387366083,0.0124938736608295,0.01249387366083,0.0124938736608304,0.01249387366083,0.0586970863518936,0.0586970863518936,0.0586970863518936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3453,1,0.00865759765486684,0.0086575976548664,0.00865759765486684,0.00865759765486684,0.0086575976548664,0.0103055186545853,0.0103055186545848,0.0103055186545848,0.0103055186545848,0.0103055186545853,0.00478457379129393,0.00478457379129438,0.00478457379129393,0.00478457379129438,0.00478457379129393,0.00666372243335278,0.00666372243335323,0.00666372243335278,0.00666372243335278,0.00666372243335323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4619,1,NA,NA,NA,NA,NA,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0698970004336017,0.0698970004336021,0.0698970004336017,0.0698970004336021,0.0698970004336017,0.0698970004336017,0.0698970004336021,0.0698970004336017,0.0698970004336021,0.0698970004336017,0.114140893607402,0.114140893607402,0.114140893607402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4620,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0079181246047626,0.0079181246047626,0.00791812460476216,0.0079181246047626,0.0079181246047626,0.0079181246047626,0.00791812460476216,0.0079181246047626,0.0079181246047626,0.0079181246047626,0.0115873687530703,0.0115873687530708,0.0115873687530708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4621,1,NA,NA,NA,NA,NA,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0376287494579977,0.0920818753952375,0.0920818753952375,0.0920818753952377,0.0920818753952375,0.0920818753952375,0.0920818753952375,0.0920818753952375,0.0920818753952375,0.0920818753952375,0.0920818753952375,0.112153244616176,0.112153244616177,0.112153244616176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4622,1,NA,NA,NA,NA,NA,0.0515829081865933,0.0515829081865928,0.0515829081865928,0.0515829081865933,0.0515829081865928,0.0515829081865933,0.0515829081865928,0.0515829081865928,0.0346787486224658,0.0346787486224658,0.0346787486224653,0.0346787486224658,0.0346787486224658,0.0346787486224653,0.0346787486224658,0.0346787486224658,0.0346787486224653,0.0346787486224658,0.0454149339153807,0.0454149339153811,0.0454149339153807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4623,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0217483944213903,0.0217483944213908,0.0217483944213908,0.0217483944213903,0.0217483944213908,0.0217483944213908,0.0217483944213908,0.0217483944213903,0.0217483944213908,0.0217483944213908,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3452,1,NA,NA,NA,NA,NA,NA,NA,-0.0283208088866509,-0.0283208088866513,-0.0283208088866513,-0.0283208088866509,-0.0283208088866513,-0.0283208088866513,-0.0283208088866509,-0.0283208088866513,-0.0283208088866513,-0.0283208088866509,-0.0283208088866513,-0.0283208088866513,-0.0283208088866513,-0.0283208088866509,-0.0283208088866513,-0.0283208088866513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3451,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0133459550231767,0.0133459550231763,0.0133459550231763,0.0133459550231767,0.0133459550231763,0.0133459550231767,0.0133459550231763,-0.0491361693834271,-0.0491361693834276,-0.0491361693834271,-0.0491361693834271,-0.0491361693834271,-0.0491361693834276,-0.0491361693834271,-0.0491361693834271,-0.0491361693834276,-0.0491361693834271,0.0413926851582249,0.072550667148612,-0.113943352306837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8904,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0687420361660696,0.0687420361660698,0.0687420361660696,0.0687420361660698,0.0687420361660698,0.0687420361660696,0.0687420361660698,0.0687420361660696,0.0687420361660698,0.00329998324347769,0.00329998324347769,0.00329998324347769,-0.0614271703011118,0.0706820550593596,-0.218495440904739,0.0759813147695263,0.0759813147695263,0.0153798213551704,0.0153798213551704,0.0723760092939927,0.0723760092939927,0.0723760092939925,NA,NA,NA,NA,NA,NA,NA
4560,1,-0.0554991825066127,-0.136498338312596,-0.160244828816914,-0.100175259341319,0.00367250507575745,0.0789035449011007,0.0953274242574942,0.0915034960963222,0.114869091863848,0.152858304173884,0.149326343926617,0.0824654670449285,-0.00521394660452623,-0.0622098951404033,-0.0852045748949493,-0.100995802439124,-0.110168218398798,-0.0802320665802008,0.00959231527478543,0.143835435979612,0.236126124570649,0.228405045821104,0.143546409380177,0.0501917672019356,-0.000905054159805907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3426,1,0.0571884613420331,0.0589361817475105,0.0603429761969817,0.0613936694915032,0.062085306586514,0.0624153775478479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13338,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.309250325910672,-0.320838389017534,-0.532638582569494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
