population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10409,1,NA,NA,NA,NA,0.00368157593208762,0.00328209137463076,0.0041330774086541,0.0101468190930805,0.0229422898074974,0.0343326863141868,0.0284293685587953,-0.00226078626017712,-0.0434214091830245,-0.0682284480834137,-0.0640766904478605,-0.0474819602839243,-0.0486343142762247,-0.0818598406449562,-0.133800944567094,-0.178797985148464,-0.201265342546356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8781,1,NA,NA,NA,NA,NA,-0.00258511055067978,-0.00684550669422945,-0.0155513492554766,-0.0267416355159964,-0.0368430882349364,-0.0427732847720643,-0.0438582763262815,-0.0415277056207138,-0.0361693882009118,-0.0280977384360092,-0.0185560907582116,-0.0077602131573351,0.00407766977775492,0.0144683599394787,0.0191691147009735,0.0172172395157055,0.0080796741718947,-0.0101045501527877,-0.0359536140251695,-0.0650913040528703,-0.0932076980123476,-0.118168900961091,-0.139637882959621,-0.157614644007943,-0.172099184106043,-0.183091503253938,-0.190591601451615,-0.194599478699081,-0.195654200463262,-0.195912028611892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11998,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.263241434774582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167896050961597,0.167896050961597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342422680822206,-1.04139268515823,0.778151250383644,0.0669467896306132,0.154901959985743,-0.154901959985743,NA,NA,NA,NA,NA,NA,NA,NA,NA
8956,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0278942786344687,0.0219509507572728,0.0105536668447108,-0.00385912763672969,-0.0181881873748555,-0.0299793465536524,-0.0378544598313393,-0.0415185173386936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11994,1,NA,NA,NA,NA,NA,NA,NA,NA,0.522878745280338,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289987,-0.0188143747289989,-0.0188143747289987,-0.349485002168009,-0.349485002168009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11963,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.00432137378264,0,-2.00432137378264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11995,1,NA,NA,NA,NA,NA,NA,NA,NA,0.176091259055681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.389075625191822,-0.389075625191822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11966,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.00432137378264,NA,NA,NA,NA,NA,NA,NA,NA,NA
11996,1,NA,NA,NA,NA,NA,NA,NA,NA,0.136219747017989,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596901,0.0506459958596903,0.0506459958596903,0.0506459958596903,0.0506459958596905,0.0506459958596901,0.0506459958596905,0.0506459958596901,-0.163841095217711,-0.163841095217711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
