"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.932901547473793 0.871323601147714 0.997399808238787
"1972" 0.881054182319983 0.805663777110572 0.957908709717378
"1973" 0.793541921725925 0.703848278463957 0.880434424016745
"1974" 0.720315387100044 0.637486690992146 0.821741076745596
"1975" 0.666066809444078 0.590869084854877 0.764962179969073
"1976" 0.657079667163809 0.571100539774772 0.772250012435921
"1977" 0.647367185643105 0.563690549680359 0.769058179600849
"1978" 0.623982453671549 0.534793579574263 0.742104245566598
"1979" 0.642154672117672 0.512839949330122 0.802644532793025
"1980" 0.6765154894283 0.530025161334632 0.855234046847416
"1981" 0.685691912751335 0.522317649977272 0.864713845101185
"1982" 0.673182891066749 0.506448365721732 0.864881641992381
"1983" 0.654723173701178 0.466976216501724 0.834588522333418
"1984" 0.644292059944989 0.465987365874919 0.847791919553323
"1985" 0.652454923786761 0.489476100611768 0.884017662047493
"1986" 0.68570529744441 0.509110658720828 0.941379761745136
"1987" 0.68121797506802 0.496945233093608 0.93583970620681
"1988" 0.653266116924184 0.476812419541139 0.885342353915294
"1989" 0.657187365441473 0.468917706805165 0.890325003952286
"1990" 0.629688727655357 0.452475898494371 0.864243531058786
"1991" 0.661230572642485 0.460296989656084 0.927727916113969
"1992" 0.600896768582489 0.424593296086939 0.866267868969853
"1993" 0.619452448168292 0.442342263839896 0.926743886116323
"1994" 0.612845574542627 0.432033371471099 0.944583836276523
"1995" 0.585467641646639 0.391271091157022 0.910394270621761
"1996" 0.556093412817869 0.353323389451374 0.855907937913728
"1997" 0.509614249560902 0.326624512604216 0.782171684421962
"1998" 0.488149179340892 0.320677838188266 0.758372287314451
"1999" 0.459143896133475 0.29971140297761 0.720267334452152
"2000" 0.469811304983679 0.305950029507937 0.746300743565451
"2001" 0.489557759653813 0.30986300181914 0.741005473476792
"2002" 0.389310192164082 0.232275060216442 0.588003221187638
"2003" 0.450584592454959 0.245569458356369 0.695294168776057
"2004" 0.456534851883144 0.250892543689639 0.666784753453542
"2005" 0.45790575640493 0.261079606714006 0.677656004201632
"2006" 0.476797352284973 0.274561402450454 0.726688207823509
"2007" 0.474339880420584 0.291021670869572 0.721698972804394
"2008" 0.491257990326366 0.296850199271351 0.772220548379894
"2009" 0.471135883369855 0.269693224595462 0.733060886062663
"2010" 0.558428813972429 0.300813066465507 0.867367868861279
"2011" 0.552424943559387 0.302229385757928 0.849168969100122
"2012" 0.546192699830247 0.294132206413333 0.893529374409189
"2013" 0.592398079604758 0.316608984698804 0.982593663132017
"2014" 0.609903304809929 0.326646317434801 1.00529095299932
"2015" 0.631439992397342 0.338180735488766 1.04078942795175
"2016" 0.631439992397342 0.338180735488766 1.04078942795175
"2017" 0.631439992397342 0.338180735488766 1.04078942795175
"2018" 0.631439992397342 0.338180735488766 1.04078942795175
