"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"1","Abert's Towhee",1970,2017,"Melozone aberti",1817,"Aridlands","Southwestern Aridlands","Passerellidae","landbird","R","other","native",890243,429538,1469410,2006,2015,"PIF0615","BBS7017",265273.469387755,"Abert's Towhee",1,7,2,"Passerellidae",39,"landbird",1,"R",3,"other",2,"native",2,-299225.84497843,182007.945729035,-726891.445029075,-271612.752757494,-26487.7908245566,-726891.445029075,-399656.582276448,-168416.314359284,-26487.7908245566,649427.583035939,195685.41589169,271192.085594321,647636.279978206,1036638.13325902,271192.085594321,516971.647648039,779878.651398747,1036638.13325902,888086.949751739,264563.10161005,369685.752126103,888782.965542256,1405613.4432511,369685.752126103,709335.419142044,1062566.69184172,1405613.4432511
"2","Acadian Flycatcher",1970,2017,"Empidonax virescens",1303,"Eastern Forest","Mexico-Central America","Tyrannidae","landbird","M","other","native",5227271,4728009,5829898,2006,2015,"PIF0615","BBS7017",281094.132653061,"Acadian Flycatcher",2,5,5,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,459991.888974273,252489.175586054,-46455.3335719096,464496.198969953,948152.340614496,-46455.3335719096,292884.392464737,629709.726799947,948152.340614496,5724479.06566104,316497.597007365,5098303.99133444,5726778.72819581,6339505.60645615,5098303.99133444,5513945.36626327,5933786.37495859,6339505.60645615,5228364.00309396,282438.50551641,4668600.27376846,5230394.91826991,5765286.24400418,4668600.27376846,5037007.34912011,5418647.69147606,5765286.24400418
"3","Acorn Woodpecker",1970,2017,"Melanerpes formicivorus",939,"Western Forest","Widespread","Picidae","landbird","R","other","native",2226303,1452256,3390813,2006,2015,"PIF0615","BBS7017",494529.846938776,"Acorn Woodpecker",3,9,10,"Picidae",45,"landbird",1,"R",3,"other",2,"native",2,-524201.012390644,288891.784412389,-1188385.36087011,-485717.710184441,-52417.231607324,-1188385.36087011,-690544.944484818,-321845.24545452,-52417.231607324,1866151.06562903,419361.848742389,1046723.00034933,1866111.09974999,2684328.14919459,1046723.00034933,1587707.1936249,2147370.64403178,2684328.14919459,2227144.58280598,495757.884249718,1255470.72193861,2224760.65017932,3176114.43571745,1255470.72193861,1895960.7136922,2562825.61149106,3176114.43571745
"4","Alder Flycatcher",1970,2017,"Empidonax alnorum",1304,"Boreal Forest","South America","Tyrannidae","landbird","M","other","native",117998630,99384651,141184247,2006,2015,"PIF0615","BBS7017",10663162.244898,"Alder Flycatcher",4,6,3,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,43269120.883976,7695606.79397289,28480561.3310953,43045391.7014439,58884500.7618888,28480561.3310953,38064598.6085369,48248524.9548603,58884500.7618888,157892190.322512,14426886.6776777,129935452.240619,157812177.981347,186397601.579033,129935452.240619,148079465.889355,167659533.603937,186397601.579033,117949246.991096,10647461.0051036,97137975.6320289,117853498.292225,138828958.274913,97137975.6320289,110800101.247445,125118712.924954,138828958.274913
"5","Allen's Hummingbird",1970,2017,"Selasphorus sasin",342,"Aridlands","Mexico-Central America","Trochilidae","landbird","M","other","native",1484682,348049,4475111,2006,2015,"PIF0615","BBS7017",1052821.93877551,"Allen's Hummingbird",5,5,2,"Trochilidae",62,"landbird",1,"M",2,"other",2,"native",2,4768923.83880929,3130728.21175162,3.02270024557896,4601943.90442983,11270042.4807086,3.02270024557896,2345585.59749097,6901286.07896982,11270042.4807086,6058929.04576111,3951543.62916016,3.9013485440875,5878502.66674817,14175251.6151133,3.9013485440875,3014126.72460205,8779604.53584685,14175251.6151133,1508751.50206434,978347.039967501,1,1476023.91467888,3512590.22695412,1,756811.809355567,2189858.02892285,3512590.22695412
"6","American Avocet",1970,2017,"Recurvirostra americana",444,"Wetland","Widespread","Recurvirostridae","shorebird","M","other","native",450000,180000,1125000,2011,2013,"Shoreb12","BBS7017",241071.428571429,"American Avocet",6,9,11,"Recurvirostridae",52,"shorebird",3,"M",2,"other",2,"native",2,-107070.007429061,90923.5555142136,-331781.472187953,-88873.4916225984,2299.64530911115,-331781.472187953,-153589.554945432,-40815.07847334,2299.64530911115,372974.431858204,196429.020608782,0.87410260405156,368834.990349656,769137.890169111,0.87410260405156,231296.083148294,504823.902719935,769137.890169111,454579.841832505,237004.315373044,1,451039.772112038,926618.634019934,1,284599.480215879,617004.764000198,926618.634019934
"7","American Bittern",1970,2017,"Botaurus lentiginosus",727,"Wetland","Temperate North America","Ardeidae","waterbird","M","other","native",2507797,2005616,3117498,2006,2015,"PIF0615","BBS7017",283643.367346939,"American Bittern",7,8,11,"Ardeidae",10,"waterbird",4,"M",2,"other",2,"native",2,701110.918491324,267734.740353092,175715.270976552,705145.445525445,1214937.16354083,175715.270976552,522565.435633269,879960.434997661,1214937.16354083,3361507.95377167,387248.776733946,2609886.66428273,3356922.1632682,4139060.77747695,2609886.66428273,3099053.3483264,3620783.90725965,4139060.77747695,2511176.15883316,281348.479514312,1961749.39445972,2510005.83571334,3058239.007563,1961749.39445972,2320322.18016763,2703713.32217187,3058239.007563
"8","American Black Duck",1970,2017,"Anas rubripes",49,"Wetland","Temperate North America","Anatidae","waterfowl","M","other","native",583500,500200,666800,2013,2017,"FWS1317","BBS7017",42500,"American Black Duck",8,8,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,341858.132425228,84993.0491219238,175605.737241313,341172.60076531,509166.912343136,175605.737241313,285169.106081187,398552.354298997,509166.912343136,928591.865702203,83269.1454872251,771669.283797965,926468.474739454,1097430.45719003,771669.283797965,872015.402237898,984586.380902355,1097430.45719003,583611.901759318,42941.2200633109,498422.53731512,583709.534754038,667124.808039009,498422.53731512,554366.202797484,612422.257706353,667124.808039009
"9","American Coot",1970,2017,"Fulica americana",435,"Wetland","Widespread","Rallidae","waterbird","M","other","native",5517522,4109506,7381712,2006,2015,"PIF0615","BBS7017",834746.428571429,"American Coot",9,9,11,"Rallidae",51,"waterbird",4,"M",2,"other",2,"native",2,-328527.36959186,1224891.65948344,-3093526.32365188,-188085.032919219,1693383.52201473,-3093526.32365188,-1015480.15902552,510310.308838711,1693383.52201473,4926810.64837497,805553.989476185,3411961.82526152,4902421.66231947,6576509.68090964,3411961.82526152,4375978.28567063,5459844.86760738,6576509.68090964,5527033.98926494,828985.335840981,3938171.49925151,5521924.58505403,7167954.47846899,3938171.49925151,4972062.97274634,6094459.39018033,7167954.47846899
"10","American Crow",1970,2017,"Corvus brachyrhynchos",1395,"Habitat Generalist","Temperate North America","Corvidae","landbird","M","other","native",28047630,26447403,29639378,2006,2015,"PIF0615","BBS7017",814279.336734694,"American Crow",10,8,8,"Corvidae",21,"landbird",1,"M",2,"other",2,"native",2,-842153.287329077,822117.323669438,-2464772.11508621,-832377.042851955,767921.8467067,-2464772.11508621,-1396759.83687701,-291382.72143109,767921.8467067,27022144.1357675,804236.868735537,25460364.4714545,27019512.7246301,28626688.2700313,25460364.4714545,26467568.467824,27573513.3568787,28626688.2700313,28047492.3672808,814489.77969379,26489375.6694701,28039385.7821916,29642160.8510001,26489375.6694701,27493784.9616767,28601235.1371195,29642160.8510001
"11","American Dipper",1970,2017,"Cinclus mexicanus",1514,"Wetland","Temperate North America","Cinclidae","landbird","R","other","native",151919,114060,200186,2006,2015,"PIF0615","BBS7017",21970.9183673469,"American Dipper",11,8,11,"Cinclidae",19,"landbird",1,"R",3,"other",2,"native",2,27762.0133073406,12320.3980595549,3723.11783297977,27629.8192076545,52452.0000996263,3723.11783297977,19453.4646713195,36037.0875513124,52452.0000996263,179179.357024321,26436.2354358291,126759.088197915,179199.80282378,230697.380394816,126759.088197915,161251.299116415,197055.646384575,230697.380394816,152394.419575465,22274.9245697506,108268.415171305,152530.2706548,195760.48283277,108268.415171305,137219.414307769,167518.73423583,195760.48283277
"12","American Golden-Plover",1974,2016,"Pluvialis dominica",452,"Arctic Tundra","South America","Charadriidae","shorebird","M","other","native",500000,294200,705800,2011,2013,"Shoreb12","Mig7416",105000,"American Golden-Plover",12,6,1,"Charadriidae",17,"shorebird",3,"M",2,"other",2,"native",2,487585.107579388,156988.308077039,211182.626315277,477413.456733637,824005.972115817,211182.626315277,378922.757008837,585454.909285027,824005.972115817,965708.479783329,227380.412384746,551175.626650979,955901.313439619,1439210.73256728,551175.626650979,810671.240935861,1109585.34023142,1439210.73256728,500533.431457924,104690.838564665,296200.959764055,499719.654689661,703450.119353271,296200.959764055,429674.381619476,571246.067428722,703450.119353271
"13","American Goldfinch",1970,2017,"Spinus tristis",1771,"Forest Generalist","Temperate North America","Fringillidae","landbird","M","other","native",44092850,41554624,46767583,2006,2015,"PIF0615","BBS7017",1329836.47959184,"American Goldfinch",13,8,6,"Fringillidae",24,"landbird",1,"M",2,"other",2,"native",2,2690116.95173387,1822108.23428775,-909567.077666735,2713568.56647082,6239896.89005878,-909567.077666735,1471231.56775526,3924944.440109,6239896.89005878,45278359.7872495,1462477.49930283,42468873.0642274,45257399.0885586,48157504.6497953,42468873.0642274,44289175.2598525,46263690.5764127,48157504.6497953,44098601.4946468,1337058.71886015,41478425.2596393,44109605.2236806,46735972.9033082,41478425.2596393,43200352.4853791,44993235.1826274,46735972.9033082
"14","American Kestrel",1970,2017,"Falco sparverius",998,"Habitat Generalist","Widespread","Falconidae","landbird","M","other","native",2827776,2564206,3116508,2006,2015,"PIF0615","BBS7017",140893.367346939,"American Kestrel",14,9,8,"Falconidae",23,"landbird",1,"M",2,"other",2,"native",2,1883121.9086775,146558.804371585,1595346.99600559,1881172.72810154,2176704.55549389,1595346.99600559,1784314.92768732,1981019.42102402,2176704.55549389,4541598.12896023,229372.362671027,4083577.99207239,4542819.3879106,4989666.43094257,4083577.99207239,4390067.3263945,4697471.74151459,4989666.43094257,2828810.60492599,141335.32598942,2545995.88839039,2830007.92004632,3100468.54564985,2545995.88839039,2735011.91543833,2925331.15336301,3100468.54564985
"15","American Oystercatcher",1970,2017,"Haematopus palliatus",446,"Coasts","Coastal","Haematopodidae","shorebird","M","other","native",11000,10700,11300,2011,2013,"Shoreb12","CBC7017",153.061224489796,"American Oystercatcher",15,2,4,"Haematopodidae",27,"shorebird",3,"M",2,"other",2,"native",2,-4061.3430941823,2675.76471438171,-10188.8130790877,-3740.62021892643,240.294854179699,-10188.8130790877,-5604.24573875008,-2155.5842681546,240.294854179699,7845.37544745757,896.112661014902,6232.96738933188,7791.16551646833,9752.34689347616,6232.96738933188,7211.83128915456,8417.51444886789,9752.34689347616,11001.312258034,153.300090424925,10702.884361136,11000.7540302206,11299.3719447285,10702.884361136,10896.1586003885,11105.0786392776,11299.3719447285
"16","American Pipit",1970,2017,"Anthus rubescens",1678,"Arctic Tundra","Temperate North America","Motacillidae","landbird","M","other","native",18034890,17874051,18354686,2006,2015,"PIF0615","CBC7017",122610.969387755,"American Pipit",16,8,1,"Motacillidae",34,"landbird",1,"M",2,"other",2,"native",2,4216589.84514823,2625275.75175254,-1504468.34593654,4389264.91682642,8875599.03994042,-1504468.34593654,2610355.23838357,6033302.32318608,8875599.03994042,23194309.9339546,902234.049090258,21456789.4230408,23177874.8924183,25026363.8808826,21456789.4230408,22581546.2447507,23783178.7104107,25026363.8808826,18036073.1209464,122802.790942178,17794884.3877173,18035416.749948,18275832.5006847,17794884.3877173,17955004.0973032,18119898.4977982,18275832.5006847
"17","American Redstart",1970,2017,"Setophaga ruticilla",1983,"Eastern Forest","Widespread Neotropical","Parulidae","landbird","M","other","native",42464674,37027311,48475245,2006,2015,"PIF0615","BBS7017",2920391.32653061,"American Redstart",17,10,5,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,4236039.81636619,2395117.66777039,-467726.055676353,4220930.62167753,8950717.39450963,-467726.055676353,2660509.64929852,5847355.3517536,8950717.39450963,47247769.870695,3257758.51831246,40886355.0428705,47261739.8835896,53631616.1120159,40886355.0428705,45023493.28097,49436039.4438059,53631616.1120159,42467399.7678465,2883529.18910276,36872067.9181907,42464172.755368,48136152.8393981,36872067.9181907,40516661.7924372,44404178.3050807,48136152.8393981
"18","American Robin",1970,2017,"Turdus migratorius",1603,"Forest Generalist","Temperate North America","Turdidae","landbird","M","other","native",366076928,337429985,392723825,2006,2015,"PIF0615","BBS7017",14105571.4285714,"American Robin",18,8,6,"Turdidae",64,"landbird",1,"M",2,"other",2,"native",2,-20350499.2301903,8555475.8121532,-37537293.3420658,-20215936.1419176,-3718779.92939614,-37537293.3420658,-26110118.8343296,-14544846.3012297,-3718779.92939614,347864807.945258,13540587.7480597,320940446.072325,347788927.683069,374662483.349591,320940446.072325,338935223.251773,357099379.495473,374662483.349591,366443954.754735,14146616.4478428,338241931.521999,366375352.306145,394319387.083537,338241931.521999,357113933.721599,376029865.050578,394319387.083537
"19","American Three-toed Woodpecker",1970,2017,"Picoides dorsalis",958,"Boreal Forest","Temperate North America","Picidae","landbird","R","other","native",1564320,1108671,2160148,2006,2015,"PIF0615","BBS7017",268233.928571429,"American Three-toed Woodpecker",19,8,3,"Picidae",45,"landbird",1,"R",3,"other",2,"native",2,-1617242.98369482,437507.0998146,-2592803.68425953,-1576531.0637725,-882214.127115216,-2592803.68425953,-1884969.93799209,-1305049.81565778,-882214.127115216,418149.468881757,75016.7196857327,272688.610264093,417152.636136859,568099.900842931,272688.610264093,367336.003987473,467477.268959905,568099.900842931,1557284.58545695,269412.011699676,1028213.7838522,1557963.44402523,2084597.21232929,1028213.7838522,1373989.13081972,1739525.21651279,2084597.21232929
"20","American Tree Sparrow",1970,2017,"Spizelloides arborea",1828,"Arctic Tundra","Temperate North America","Passerellidae","landbird","M","other","native",26412817,19492087,36200474,2006,2015,"PIF0615","CBC7017",4262343.62244898,"American Tree Sparrow",20,8,1,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,29874680.328133,5294715.23345135,19867550.7839792,29783165.9076855,40520884.6088589,19867550.7839792,26227305.8433124,33426945.0054271,40520884.6088589,53852379.9369372,8795710.01035671,36963375.80516,53882844.4229179,71051850.2113397,36963375.80516,47785052.5392404,59858326.5513365,71051850.2113397,26395742.7494138,4269776.31189032,18178843.7467833,26414955.0276385,34688162.5962379,18178843.7467833,23475929.3563198,29311065.4215424,34688162.5962379
"21","American White Pelican",1970,2017,"Pelecanus erythrorhynchos",724,"Wetland","Temperate North America","Pelecanidae","waterbird","M","other","native",414730,299521,546711,2006,2015,"PIF0615","BBS7017",63058.6734693878,"American White Pelican",21,8,11,"Pelecanidae",41,"waterbird",4,"M",2,"other",2,"native",2,-619371.482161723,177819.590330316,-1035775.01852164,-597837.812016595,-340497.259616955,-1035775.01852164,-721229.988943208,-491471.023150688,-340497.259616955,43609.2328233799,7125.20416685168,29992.057587897,43493.3861639724,57686.1473811223,29992.057587897,38748.5236625584,48297.0219809415,57686.1473811223,414751.360121957,62811.1402281608,290908.783056305,415292.95988682,536203.304328111,290908.783056305,373202.380918118,456265.423332927,536203.304328111
"22","American Wigeon",1970,2017,"Mareca americana",44,"Wetland","Temperate North America","Anatidae","waterfowl","M","other","native",2997300,2640100,3354500,2013,2017,"FWS1317","FWS7017",182244.897959184,"American Wigeon",22,8,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,215327.904833445,386358.543526313,-575940.050927292,229888.729605868,935380.923912587,-575940.050927292,-37223.1028324261,479717.226107597,935380.923912587,3542896.17928918,265414.594745325,3042685.45107055,3534696.85830996,4080903.17322288,3042685.45107055,3358501.00619099,3718836.5739306,4080903.17322288,2996925.36159103,180943.676435644,2643322.59488632,2995934.72930451,3356090.13398819,2643322.59488632,2874028.38047916,3118127.24064765,3356090.13398819
"23","American Woodcock",1970,2017,"Scolopax minor",512,"Eastern Forest","Temperate North America","Scolopacidae","shorebird","M","other","native",3500000,3000000,4000000,2011,2013,"Shoreb12","SGS6817",255102.040816327,"American Woodcock",23,8,5,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,1667411.77801723,179448.269986709,1323320.15621789,1664308.60906681,2031700.22168989,1323320.15621789,1544489.79482617,1785960.69231305,2031700.22168989,5064206.65797224,380433.654739973,4332134.54991917,5061770.07414252,5816361.148888,4332134.54991917,4808452.26010257,5321358.25139008,5816361.148888,3495969.98015773,257420.937161878,2995199.50795988,3496201.3331106,4004710.92316231,2995199.50795988,3320212.48949801,3669185.65621812,4004710.92316231
"24","Ancient Murrelet",1970,2017,"Synthliboramphus antiquus",555,"Coasts","Marine","Alcidae","waterbird","M","other","native",1000000,500000,1500000,1990,1992,"BNA2010","CBC7017",255102.040816327,"Ancient Murrelet",24,4,4,"Alcidae",5,"waterbird",4,"M",2,"other",2,"native",2,-1870544.84149778,1043147.93062663,-4506979.7214516,-1662471.66424589,-455747.944705329,-4506979.7214516,-2377332.66018491,-1133827.47176277,-455747.944705329,678631.351205888,195304.47478836,322525.12038303,667581.308735177,1101786.67066653,322525.12038303,544474.041748744,801031.101221033,1101786.67066653,1002257.65675477,251552.310034591,503312.723502777,1005391.12473468,1491088.62009462,503312.723502777,836011.475099292,1169393.71659745,1491088.62009462
"25","Anhinga",1970,2017,"Anhinga anhinga",723,"Wetland","Widespread Neotropical","Anhingidae","waterbird","M","other","native",27000,20000,34000,1978,1980,"BNA2000","BBS7017",3571.42857142857,"Anhinga",25,10,11,"Anhingidae",7,"waterbird",4,"M",2,"other",2,"native",2,-28388.1069137707,7399.8530736335,-44734.3694545804,-27714.0810053862,-15830.6801699244,-44734.3694545804,-32991.2621243177,-23131.8740219286,-15830.6801699244,25723.4745390407,3575.1843788203,18811.0083773924,25645.5378746416,32884.0528190698,18811.0083773924,23309.1221788219,28126.9802381594,32884.0528190698,27021.5882514519,3578.55922732342,19913.2863098456,26982.8317951145,34050.6298343421,19913.2863098456,24624.7092817063,29443.7297634573,34050.6298343421
"26","Anna's Hummingbird",1970,2017,"Calypte anna",336,"Aridlands","Temperate North America","Trochilidae","landbird","M","other","native",8772569,4880026,16549527,2006,2015,"PIF0615","BBS7017",2976913.52040816,"Anna's Hummingbird",26,8,2,"Trochilidae",62,"landbird",1,"M",2,"other",2,"native",2,-6906605.04264012,2465975.69820304,-11978946.1277688,-6795142.97327728,-2324564.9898549,-11978946.1277688,-8513245.90483497,-5228246.28517088,-2324564.9898549,3557394.36161241,1198784.08650275,1208082.16771462,3553899.8763779,5914571.48279934,1208082.16771462,2751532.4028245,4362092.87465026,5914571.48279934,8783555.33043211,2954261.41833165,2961726.79004749,8778720.61991288,14583291.1594286,2961726.79004749,6782731.26247475,10759951.4262502,14583291.1594286
"27","Arctic Tern",1993,2017,"Sterna paradisaea",615,"Arctic Tundra","Coastal","Laridae","waterbird","M","other","native",1000000,250000,1750000,2004,2006,"WPE5","BBS9317",382653.06122449,"Arctic Tern",27,2,1,"Laridae",32,"waterbird",4,"M",2,"other",2,"native",2,546118.044513806,297009.247119044,55628.594865643,516643.525613119,1207552.7258203,55628.594865643,335936.340077598,724681.809423114,1207552.7258203,1359036.0334483,539763.673642372,326023.535866006,1345303.24265995,2463653.54256871,326023.535866006,992033.257497526,1712719.57003427,2463653.54256871,996827.38252041,380855.061817226,245040.992178548,998148.804376214,1746731.08067723,245040.992178548,740591.476316242,1254439.04180579,1746731.08067723
"28","Arctic Warbler",1993,2017,"Phylloscopus borealis",1526,"Arctic Tundra","Widespread","Phylloscopidae","landbird","M","other","native",8201201,2638973,16439186,2006,2015,"PIF0615","BBS9317",3520462.5,"Arctic Warbler",28,9,1,"Phylloscopidae",44,"landbird",1,"M",2,"other",2,"native",2,7379813.05346095,4627069.27883299,0.731353366365746,7010631.68460463,17427258.9087588,0.731353366365746,4125773.12430348,10213146.7984236,17427258.9087588,14982085.2432076,6743113.0059632,2125200.50189147,14749232.7083802,28912417.8778975,2125200.50189147,10356367.9301497,19354629.7143936,28912417.8778975,8174513.6206501,3530585.80120585,1177165.53119804,8182874.75790644,15082852.926051,1177165.53119804,5735577.54380513,10585899.2802074,15082852.926051
"29","Ash-throated Flycatcher",1970,2017,"Myiarchus cinerascens",1247,"Aridlands","Mexico-Central America","Tyrannidae","landbird","M","other","native",6847348,5661743,8193398,2006,2015,"PIF0615","BBS7017",645830.357142857,"Ash-throated Flycatcher",29,5,2,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,-2600771.62754271,486486.244503445,-3611610.3211238,-2576019.76969788,-1722099.95615695,-3611610.3211238,-2917007.06406179,-2261611.663667,-1722099.95615695,4703091.19618865,449320.440739041,3816099.78093547,4700404.41684366,5582143.81748371,3816099.78093547,4397353.43203064,5008891.70257548,5582143.81748371,6861527.97936949,646315.325647356,5575480.76141324,6861316.99253908,8113715.89292547,5575480.76141324,6421795.86829803,7304912.43262952,8113715.89292547
"30","Atlantic Puffin",1970,2017,"Fratercula arctica",562,"Coasts","Marine","Alcidae","waterbird","M","other","native",375000,350000,400000,1998,2000,"BNA2002","CBC7017",12755.1020408163,"Atlantic Puffin",30,4,4,"Alcidae",5,"waterbird",4,"M",2,"other",2,"native",2,-595146.674499813,363911.273039362,-1488516.88216537,-519809.899606368,-115222.950145595,-1488516.88216537,-765325.465033252,-334474.787060909,-115222.950145595,187422.93404266,35495.2043928094,127055.03968984,184658.906461265,264131.522630451,127055.03968984,161947.316638501,209291.945776326,264131.522630451,375187.898124304,12826.1427675239,350183.729230915,375332.580953731,399857.467783582,350183.729230915,366524.148280306,383735.8597806,399857.467783582
"31","Bachman's Sparrow",1970,2017,"Peucaea aestivalis",1825,"Eastern Forest","Temperate North America","Passerellidae","landbird","R","other","native",167964,102917,256160,2006,2015,"PIF0615","BBS7017",39092.6020408163,"Bachman's Sparrow",31,8,5,"Passerellidae",39,"landbird",1,"R",3,"other",2,"native",2,453404.642096873,107913.712701009,243001.535575776,454114.765185295,667931.135674085,243001.535575776,379505.232997853,526598.40678586,667931.135674085,595965.796083058,140212.983345258,322438.070975443,597377.025909725,870495.66534701,322438.070975443,499942.904731624,692452.977849297,870495.66534701,167519.293811195,39178.3201664214,90526.8363240705,167993.342163115,243844.85246251,90526.8363240705,140978.866250521,194376.881950065,243844.85246251
"32","Baird's Sandpiper",1974,2016,"Calidris bairdii",500,"Arctic Tundra","South America","Scolopacidae","shorebird","M","other","native",300000,120000,750000,2011,2013,"Shoreb12","Mig7416",160714.285714286,"Baird's Sandpiper",32,6,1,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-95393.6762131553,94296.5642256213,-336637.940617472,-74519.0640966462,19660.8337640487,-336637.940617472,-138044.721597188,-27275.459769591,19660.8337640487,218837.674446386,115315.194471077,0.809253217020196,214984.222003259,458580.464379228,0.809253217020196,138046.700808152,294240.018414489,458580.464379228,302806.185847073,154490.33418457,1,301065.080948748,611585.944827292,1,195191.474424016,408374.544376262,611585.944827292
"33","Baird's Sparrow",1970,2017,"Centronyx bairdii",1844,"Grassland","Southwestern Aridlands","Passerellidae","landbird","M","other","native",3440174,2322349,4825893,2006,2015,"PIF0615","BBS7017",638659.183673469,"Baird's Sparrow",33,7,7,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,6087037.7087432,1299555.84825891,3646665.04172824,6043970.45370433,8737982.67802653,3646665.04172824,5188451.3133967,6939375.28005295,8737982.67802653,9239992.55286496,1766425.34284498,5812488.02556807,9209788.04315853,12759471.4324567,5812488.02556807,8029917.12078865,10413166.6061608,12759471.4324567,3442228.34165195,638327.834328032,2187276.76095443,3442234.07318145,4688919.84036144,2187276.76095443,3009725.75162577,3872259.62898483,4688919.84036144
"34","Bald Eagle",1970,2017,"Haliaeetus leucocephalus",795,"Wetland","Temperate North America","Accipitridae","landbird","M","other","native",200000,100000,300000,2015,2017,"ACAD","BBS7017",51020.4081632653,"Bald Eagle",34,8,11,"Accipitridae",1,"landbird",1,"M",2,"other",2,"native",2,-200103.438700401,54254.778677695,-310541.331708757,-199058.398776494,-97128.7577201983,-310541.331708757,-235759.398290061,-162350.381427173,-97128.7577201983,16854.0228489521,4412.54126414323,8343.74707821323,16804.4908732949,25598.0556746433,8343.74707821323,13824.6714157272,19848.592629344,25598.0556746433,199572.201775945,51169.5934524342,99205.1399222006,200219.080749933,299337.702364875,99205.1399222006,164253.803018079,234454.612065319,299337.702364875
"35","Baltimore Oriole",1970,2017,"Icterus galbula",1922,"Eastern Forest","Widespread Neotropical","Icteridae","landbird","M","other","native",11806532,10808329,12963225,2006,2015,"PIF0615","BBS7017",549718.367346939,"Baltimore Oriole",35,10,5,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,8621300.67603059,705623.780774824,7291076.52474477,8609040.0631351,10056141.5283934,7291076.52474477,8136122.0450506,9080802.51662352,10056141.5283934,19755330.5604815,934860.991179317,17930499.6100534,19757904.8837094,21615345.8052141,17930499.6100534,19131706.7110954,20370287.5167455,21615345.8052141,11808131.8753721,548091.043322387,10738380.6457449,11810962.7290623,12895700.7682579,10738380.6457449,11440818.3708859,12169724.3066526,12895700.7682579
"36","Band-tailed Pigeon",1970,2017,"Patagioenas fasciata",156,"Western Forest","Mexico-Central America","Columbidae","landbird","M","other","native",1455144,1049053,1990079,2006,2015,"PIF0615","BBS7017",240057.653061224,"Band-tailed Pigeon",36,5,10,"Columbidae",20,"landbird",1,"M",2,"other",2,"native",2,1442573.65168206,308653.062641058,880561.773488902,1432437.23192492,2071287.38268699,880561.773488902,1226005.31349953,1646453.36118924,2071287.38268699,2859026.50173144,487706.90044839,1911322.97869212,2864283.31623815,3815661.46015214,1911322.97869212,2523338.82698822,3183777.06203019,3815661.46015214,1453593.60482019,242571.137907595,977592.878073998,1456256.18562911,1930087.68503527,977592.878073998,1288103.89237918,1615086.79518019,1930087.68503527
"37","Bank Swallow",1970,2017,"Riparia riparia",1430,"Habitat Generalist","South America","Hirundinidae","landbird","M","AI","native",7940368,6125188,10752527,2006,2015,"PIF0615","BBS7017",1180443.62244898,"Bank Swallow",37,6,8,"Hirundinidae",28,"landbird",1,"M",2,"AI",1,"native",2,56170768.1762737,8746198.42151822,39211173.1443085,56157893.4075996,73504291.5774593,39211173.1443085,50255971.068654,61926122.2150365,73504291.5774593,63755042.6610835,9728236.51371154,44986704.3874419,63713094.3150053,83324474.9897209,44986704.3874419,57148632.220843,70372677.9043485,83324474.9897209,7954015.92700711,1178726.61995791,5650454.65756815,7961191.81468562,10283149.5357049,5650454.65756815,7152455.75353119,8744396.76116987,10283149.5357049
"38","Barn Owl",1970,2017,"Tyto alba",828,"Habitat Generalist","Widespread","Tytonidae","landbird","R","other","native",130751,81975,193386,2006,2015,"PIF0615","BBS7017",28421.1734693878,"Barn Owl",38,9,8,"Tytonidae",66,"landbird",1,"R",3,"other",2,"native",2,-111826.002878392,34857.2110334834,-190090.941541667,-108433.397624759,-54149.4743249604,-190090.941541667,-132623.648371723,-87282.8112375457,-54149.4743249604,51330.9037969033,11378.3937253583,29381.2856991394,51122.5112743298,73902.2631814523,29381.2856991394,43527.795530342,58933.0123318962,73902.2631814523,130999.644998971,28496.8909844196,75373.9810479386,130948.663254779,186877.896976114,75373.9810479386,111782.251220021,150165.54470005,186877.896976114
