"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"492","White-eyed Vireo",1970,2017,"Vireo griseus",1340,"Eastern Forest","Mexico-Central America","Vireonidae","landbird","M","other","native",22090753,20223913,24179468,2006,2015,"PIF0615","BBS7017",1009070.15306122,"White-eyed Vireo",492,5,5,"Vireonidae",67,"landbird",1,"M",2,"other",2,"native",2,-7048665.84242027,956496.2987376,-8981763.7423207,-7026030.63221519,-5277658.79707668,-8981763.7423207,-7692380.90145621,-6385545.08318096,-5277658.79707668,16605424.4804964,775333.195680997,15102008.9719396,16610810.9888284,18137440.6307967,15102008.9719396,16082541.0353109,17121362.9829805,18137440.6307967,22092199.9155077,1008547.99561489,20088523.1964078,22099938.4529787,24075914.9772028,20088523.1964078,21414136.634151,22770822.9069642,24075914.9772028
"493","White-faced Ibis",1970,2017,"Plegadis chihi",760,"Wetland","Widespread","Threskiornithidae","waterbird","M","other","native",1332908,700651,2146390,2006,2015,"PIF0615","BBS7017",368810.969387755,"White-faced Ibis",493,9,11,"Threskiornithidae",61,"waterbird",4,"M",2,"other",2,"native",2,-1552296.94648411,1120319.77095336,-4404064.46794509,-1300939.01811966,-179983.350440689,-4404064.46794509,-2036392.28238476,-777324.036084291,-179983.350440689,663571.128970343,195856.521034008,301334.203744018,654076.930727791,1066604.29440931,301334.203744018,530586.345778405,788199.993225403,1066604.29440931,1336244.54750985,363762.587321967,630934.132226896,1334478.09195849,2054225.52423776,630934.132226896,1092186.37399489,1579862.47692206,2054225.52423776
"494","White-headed Woodpecker",1970,2017,"Dryobates albolarvatus",966,"Western Forest","Temperate North America","Picidae","landbird","R","other","native",243113,168463,340504,2006,2015,"PIF0615","BBS7017",43888.0102040816,"White-headed Woodpecker",494,8,10,"Picidae",45,"landbird",1,"R",3,"other",2,"native",2,-88618.2105032844,28813.6919041138,-153639.678612679,-85883.3365190012,-40243.3121078537,-153639.678612679,-106160.38647335,-68018.4780765137,-40243.3121078537,172465.794944996,31210.3513955084,110831.680202238,172214.622614075,234128.25485829,110831.680202238,151125.022518911,193676.096589749,234128.25485829,243536.488317791,43715.6074698721,157057.194935215,243140.976409579,329119.85947643,157057.194935215,213845.153635025,273268.528229401,329119.85947643
"495","White-rumped Sandpiper",1974,2016,"Calidris fuscicollis",503,"Arctic Tundra","South America","Scolopacidae","shorebird","M","other","native",1694000,560100,3827900,2011,2013,"Shoreb12","Mig7416",833622.448979592,"White-rumped Sandpiper",495,6,1,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-537235.39584857,608320.37565605,-2104499.90926832,-388564.355110958,218807.742291398,-2104499.90926832,-800421.94971263,-117012.424363744,218807.742291398,1276695.01687498,643302.709100521,25683.0844357396,1256807.5325696,2598296.96974342,25683.0844357396,836611.872184921,1688389.89834922,2598296.96974342,1704899.62736885,823770.899236213,38116.3094621499,1703513.66928369,3326378.98591773,38116.3094621499,1131777.79165588,2263528.59787412,3326378.98591773
"496","White-tailed Kite",1970,2017,"Elanus leucurus",772,"Habitat Generalist","Widespread","Accipitridae","landbird","R","other","native",15718,8293,26310,2006,2015,"PIF0615","BBS7017",4596.17346938776,"White-tailed Kite",496,9,8,"Accipitridae",1,"landbird",1,"R",3,"other",2,"native",2,12240.7413897539,4090.57717208665,4762.94841019359,12040.7483410491,20849.079322379,4762.94841019359,9394.6026603019,14885.2186176311,20849.079322379,26962.9330722298,7972.39355434815,11147.8587439194,26936.5606962562,42671.4001125793,11147.8587439194,21645.7765996253,32327.2495506284,42671.4001125793,15643.5956647023,4601.73215025048,6535.54954845781,15661.5906335305,24682.8980370787,6535.54954845781,12567.9791488676,18750.4125197537,24682.8980370787
"497","White-throated Sparrow",1970,2017,"Zonotrichia albicollis",1856,"Boreal Forest","Temperate North America","Passerellidae","landbird","M","other","native",162847702,138867549,189194261,2006,2015,"PIF0615","BBS7017",12838446.9387755,"White-throated Sparrow",497,8,3,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,94677564.1910859,11777802.6083563,72249718.2867574,94384473.2274773,118640064.992625,72249718.2867574,86581834.6594187,102395465.300464,118640064.992625,245149102.027891,19522757.4952525,206699164.278544,245000659.238356,283638646.316948,206699164.278544,232121087.493087,258264416.239121,283638646.316948,162978122.2866,12776666.6148338,137547708.998154,163018305.543841,188072120.830997,137547708.998154,154539617.761027,171542791.194251,188072120.830997
"498","White-throated Swift",1970,2017,"Aeronautes saxatalis",274,"Aridlands","Southwestern Aridlands","Apodidae","landbird","M","AI","native",2382771,1600983,3298803,2006,2015,"PIF0615","BBS7017",433117.346938776,"White-throated Swift",498,7,2,"Apodidae",8,"landbird",1,"M",2,"AI",1,"native",2,478334.840571948,325366.907989122,-170603.218532756,480634.736440238,1118343.85102228,-170603.218532756,268927.571943066,693980.095740723,1118343.85102228,2858730.21137376,525931.081735451,1825396.36896937,2858163.97451259,3880439.94520557,1825396.36896937,2506737.17538358,3214351.70581826,3880439.94520557,2385156.38246348,431265.234466421,1542789.58565061,2392993.45630626,3218975.25125002,1542789.58565061,2093162.0693198,2677878.40036717,3218975.25125002
"499","White-winged Crossbill",1970,2017,"Loxia leucoptera",1760,"Boreal Forest","Temperate North America","Fringillidae","landbird","M","other","native",39691698,30030233,51497702,2006,2015,"PIF0615","BBS7017",5476395.15306122,"White-winged Crossbill",499,8,3,"Fringillidae",24,"landbird",1,"M",2,"other",2,"native",2,-31669830.1942399,14144825.6198663,-65112104.4195158,-29617618.0049231,-10422048.5628377,-65112104.4195158,-39354359.4219507,-21467172.3901349,-10422048.5628377,15330715.1113002,2442320.90152978,10746295.0398026,15271275.2352121,20292331.7287381,10746295.0398026,13655171.0516664,16939615.1439318,20292331.7287381,39670425.4247894,5457695.72969909,28966346.0767808,39699381.3874091,50369544.5990349,28966346.0767808,35941678.9328453,43337459.710158,50369544.5990349
"500","White-winged Dove",1970,2017,"Zenaida asiatica",195,"Aridlands","Southwestern Aridlands","Columbidae","landbird","M","other","native",5159586,3579714,7462483,2006,2015,"PIF0615","BBS7017",990502.295918367,"White-winged Dove",500,7,2,"Columbidae",20,"landbird",1,"M",2,"other",2,"native",2,-2533925.28287754,906746.895205357,-4561692.52345703,-2443648.26247779,-1046645.96159991,-4561692.52345703,-3089098.76775134,-1882406.91982323,-1046645.96159991,3292408.5275195,645118.501682116,2023044.53732017,3291835.8136155,4553008.50629218,2023044.53732017,2864581.00010704,3725673.81944538,4553008.50629218,5165709.48119484,994081.554448717,3175403.95305969,5170264.0269314,7086897.35352751,3175403.95305969,4509763.04049551,5831433.86104959,7086897.35352751
"501","White-winged Scoter",1970,2017,"Melanitta fusca",68,"Wetland","Marine","Anatidae","waterfowl","M","other","native",400000,200000,600000,2004,2006,"SeDu07","CBC7017",102040.816326531,"White-winged Scoter",501,4,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,31853.4440411213,166372.05570519,-362378.289140681,49864.4821788021,312241.096674834,-362378.289140681,-51155.2147534587,134639.582700677,312241.096674834,468002.800477095,142468.72564274,218899.571862927,458563.520704079,780824.87644899,218899.571862927,368133.902721699,554572.960073793,780824.87644899,400232.442234144,102433.434002601,202029.573232752,399372.90417061,604079.261527435,202029.573232752,331613.527640728,467202.46519165,604079.261527435
