"","Breeding.Biome","year","med","lci","uci"
"92","Aridlands",2000,-37043415.8291261,-47415702.4348041,-27062141.1816709
"90","Aridlands",2001,-37543464.6924777,-48204321.641058,-27176381.0730958
"88","Aridlands",2002,-37891871.9833128,-48445557.1711612,-27603831.8227533
"85","Aridlands",2003,-38184400.1706656,-48867224.1417962,-27769751.0162894
"83","Aridlands",2004,-38390816.6065516,-49336936.4933157,-27851257.4932431
"94","Aridlands",2005,-38876703.8551612,-49777850.4020275,-28082961.9635484
"95","Aridlands",2006,-39155690.5106241,-50553315.8724262,-28042959.4935861
"53","Aridlands",2007,-39506881.8096984,-51143984.4493579,-28233760.5903921
"60","Aridlands",2008,-39648007.6345808,-51307471.7782671,-28125630.0027067
"71","Aridlands",2009,-39681962.2410656,-51798123.2600659,-27060515.8233022
"82","Aridlands",2010,-39725684.62983,-51902129.8475667,-26860655.9910392
"93","Aridlands",2011,-39455622.2035485,-51972092.8164992,-25713133.908754
"87","Aridlands",2012,-39053991.4439736,-51805043.8870759,-24548019.3605017
"89","Aridlands",2013,-38397967.0248082,-51543750.0086446,-23602918.3234919
"86","Aridlands",2014,-37696016.2783787,-51123264.2257452,-21069513.701616
"84","Aridlands",2015,-36805095.1063928,-50836997.3436155,-18718858.10194
"91","Aridlands",2016,-36098806.7011016,-50481104.6830186,-17041168.2721213
"96","Aridlands",2017,-35684889.6663623,-50159550.8563411,-16182175.6694096
